Parasite-2019
4.45 

The Dark Knight-2008
4.45 

Pulp Fiction-1994
4.34 

Spider-Man: Into the Spider-Verse-2018
4.38 

The Godfather-1972
4.47 

The Shawshank Redemption-1994
4.33 

12 Angry Men-1957
4.52 

Reservoir Dogs-1992
4.32 

Eternal Sunshine of the Spotless Mind-2004
4.33 

Spirited Away-2001
4.25 

Taxi Driver-1976
4.36 

The Empire Strikes Back-1980
4.31 

One Flew Over the Cuckoo's Nest-1975
4.41 

Citizen Kane-1941
4.38 

Fargo-1996
4.19 

2001: A Space Odyssey-1968
4.35 

Star Wars: Episode IV – A New Hope-1977
4.17 

No Country for Old Men-2007
4.33 

Oldboy-2003
4.44 

Interstellar-2014
4.13 

Inception-2010
4 

The Farewell-2019
4.44 

The Godfather: Part II-1974
4.38 

Chungking Express-1994
4.5 

The Matrix-1999
4.07 

Fight Club-1999
4.13 

Saving Private Ryan-1998
4.21 

Jojo Rabbit-2019
4.2 

There Will Be Blood-2007
4.38 

Trainspotting-1996
4.25 

Whiplash-2014
4.05 

The Silence of the Lambs-1991
4.31 

Rear Window-1954
4.46 

Avengers: Infinity War-2018
4.06 

Baby Driver-2017
4.08 

In the Mood for Love-2000
4.6 

Soul-2020
3.87 

Lost in Translation-2003
4.17 

The Good, the Bad and the Ugly-1966
4.28 

Knives Out-2019
3.98 

Inglourious Basterds-2009
4.18 

Blade Runner 2049-2017
4.17 

The Shining-1980
4.05 

Uncut Gems-2019
4.05 

Mad Max: Fury Road-2015
4.15 

Prisoners-2013
4.31 

Black Panther-2018
3.97 

Psycho-1960
4.26 

Zootopia-2016
4.18 

Good Time-2017
4.34 

Dog Day Afternoon-1975
4.35 

Apocalypse Now-1979
4.35 

GoodFellas-1990
4.19 

Good Will Hunting-1997
4.17 

Being John Malkovich-1999
4.3 

My Neighbor Totoro-1988
4.06 

Django Unchained-2012
4.1 

Ex Machina-2015
4.28 

Little Women-2019
4.07 

Amélie-2001
4.17 

Midsommar-2019
4.1 

Fantastic Mr. Fox-2009
4.22 

Logan-2017
4.34 

The Florida Project-2017
4.34 

Moonlight-2016
4.3 

1917-2019
4.13 

Neon Genesis Evangelion: The End of Evangelion-1997
4.67 

Alien-1979
4.08 

The Big Lebowski-1998
4.06 

Annihilation-2018
4.11 

Marriage Story-2019
4.16 

Paterson-2016
4.36 

Star Wars: Episode VI – Return of the Jedi-1983
4.13 

Joker-2019
3.7 

Mulan-1998
4.06 

Boyhood-2014
4.11 

Raiders of the Lost Ark-1981
4.19 

The Big Short-2015
4.19 

Samsara-2011
4.71 

Drive-2011
4.04 

Guardians of the Galaxy-2014
3.91 

Annie Hall-1977
4.22 

Before Sunrise-1995
4.33 

Captain America: The Winter Soldier-2014
4.04 

Seven Samurai-1954
4.39 

Schindler's List-1993
4.35 

Mulholland Drive-2001
4.2 

Memento-2000
4.35 

Coco-2017
4.08 

The Lord of the Rings: The Fellowship of the Ring-2001
4.08 

Tokyo Story-1953
4.53 

The Irishman-2019
4.06 

A Clockwork Orange-1971
4.15 

The Thin Red Line-1998
4.47 

Solaris-1972
4.47 

What We Do in the Shadows-2014
4.21 

Zodiac-2007
4.13 

Leave No Trace-2018
4.5 

Terminator 2: Judgment Day-1991
4.25 

Rosemary's Baby-1968
4.22 

